record,Bullied_on_school_property_in_past_12_months,Bullied_not_on_school_property_in_past_12_months,Cyber_bullied_in_past_12_months,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Other_students_kind_and_helpful,Parents_understand_problems,Were_underweight,Were_overweight,score
2027,1,0,0,15 years old,0,0 times,0 times,Most of the time,1,Rarely,Never,0,0,40
2035,0,0,0,15 years old,1,0 times,0 times,Sometimes,3 or more,Sometimes,Most of the time,0,0,5
2039,1,0,0,16 years old,1,0 times,0 times,Never,3 or more,Rarely,Never,0,0,35
2040,0,0,0,15 years old,0,0 times,0 times,Rarely,2,Most of the time,Always,0,0,5
2044,1,0,1,16 years old,1,0 times,1 to 3 times,Sometimes,3 or more,Sometimes,Rarely,0,0,68
2045,0,0,0,17 years old,0,0 times,0 times,Rarely,1,Sometimes,Always,0,0,5
2046,0,0,0,15 years old,1,0 times,0 times,Rarely,3 or more,Sometimes,Most of the time,0,0,4
2047,1,1,1,15 years old,0,0 times,0 times,Never,3 or more,Rarely,Never,0,0,95
2051,0,0,0,15 years old,0,0 times,0 times,Never,3 or more,Most of the time,Always,0,0,3
2052,1,1,1,16 years old,0,0 times,0 times,Sometimes,3 or more,Rarely,Sometimes,0,0,95
2054,0,1,0,16 years old,1,0 times,0 times,Rarely,3 or more,Sometimes,Sometimes,0,0,35
2055,1,0,1,17 years old,1,0 times,4 to 7 times,Sometimes,3 or more,Most of the time,Never,0,1,71
2056,1,0,1,15 years old,0,0 times,1 to 3 times,Sometimes,3 or more,Rarely,Most of the time,0,0,65
2057,0,1,0,16 years old,1,0 times,0 times,Sometimes,3 or more,Most of the time,Rarely,0,0,38
2058,0,1,0,17 years old,0,0 times,0 times,Never,3 or more,Most of the time,Always,0,0,33
2059,0,0,0,17 years old,0,0 times,1 to 3 times,Most of the time,1,Most of the time,Most of the time,0,0,10
2060,0,1,0,17 years old,0,0 times,1 to 3 times,Most of the time,3 or more,Never,Never,0,0,42
2064,0,0,0,16 years old,0,0 times,0 times,Rarely,3 or more,Sometimes,Rarely,0,1,6
2066,1,0,0,17 years old,1,0 times,0 times,Sometimes,3 or more,Always,Sometimes,0,0,34
2067,0,1,0,16 years old,0,2 or 3 times,0 times,Sometimes,3 or more,Most of the time,Rarely,0,0,40
2068,0,0,0,16 years old,0,0 times,0 times,Never,3 or more,Sometimes,Sometimes,0,0,4
2070,1,0,1,17 years old,0,0 times,0 times,Sometimes,2,Most of the time,Most of the time,0,0,67
2071,0,1,0,17 years old,1,0 times,0 times,Never,3 or more,Sometimes,Sometimes,0,0,34
